code,description,national_rate
99282,Emergency dept visit level 2,75
99283,Emergency dept visit level 3,130
99284,Emergency dept visit level 4,190
99285,Emergency dept visit level 5,280
99213,Office visit established level 3,75
99214,Office visit established level 4,110
70450,CT head or brain without contrast,110
70460,CT head or brain with contrast,130
74177,CT abdomen and pelvis with contrast,260
72148,MRI lumbar spine without contrast,220
71045,Chest X-ray single view,25
71046,Chest X-ray 2 views,30
93000,Electrocardiogram complete,18
80048,Basic metabolic panel,12
80053,Comprehensive metabolic panel,14
80061,Lipid panel,13
85025,Complete blood count with differential,11
85027,Complete blood count automated,9
84443,Thyroid stimulating hormone,23
81001,Urinalysis automated with microscopy,4
87804,Influenza test rapid,16
36415,Collection of venous blood by venipuncture,3
96360,IV infusion hydration initial hour,60
96374,IV push single drug,65
94640,Nebulizer treatment,18
20610,Injection major joint or bursa,50
12001,Simple repair of superficial wound,120
90471,Immunization administration,15
J1885,Ketorolac injection 15 mg,2
J2405,Ondansetron injection 1 mg,1
